关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态
串串香,午餐,300,一份，可食部分约300g，不含额外主食,煮制,麻辣,待审核
青海酸奶,加餐,200,一份约200g，作为加餐/配餐，不宜单独作正餐,其他,原味,待审核
卤鸡爪,晚餐,200,一份，可食部分约200g,炖煮,五香,待审核
藏式面片汤,晚餐,350,一份，可食部分约350g（含汤）,煮制,鲜香,待审核
烤脑花,加餐,150,一份，可食部分约150g，作为小吃,烤制,麻辣,待审核
牦牛饺子,午餐,250,一份约250g（10-12只）,煮制,鲜香,待审核
江湖鱼,晚餐,350,一份，可食部分约350g,炖煮,麻辣,待审核
酥油茶,加餐,250,一杯约250ml，作为饮品,冲泡,原味,待审核
糌粑,早餐,150,一份约150g，搭配酥油茶食用,其他,原味,待审核
重庆冰粉,加餐,250,一份约250g，作为甜品小吃,其他,甜味,待审核
奶豆腐,加餐,100,一份约100g，作为小吃/配餐,其他,原味,待审核
板凳面,午餐,300,一份，可食部分约300g,煮制,麻辣,待审核
红糖糍粑,加餐,150,一份约150g，作为甜点,煎制,甜味,待审核
蒙古奶茶,加餐,250,一杯约250ml，作为饮品,冲泡,原味,待审核
山城小汤圆,加餐,200,一碗约200g，作为甜品,煮制,甜味,待审核
烤全羊,晚餐,300,一份，可食部分约300g（含骨）,烤制,孜然,待审核
椰子饭,午餐,300,一份，可食部分约300g,蒸制,甜味,待审核
永川豆豉鱼,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
和乐蟹,晚餐,250,一只/份，可食部分约250g,蒸制,鲜香,待审核
重庆啤酒鸭,晚餐,300,一份，可食部分约300g,炖煮,香辣,待审核
嘉积鸭,晚餐,250,一份，可食部分约250g,煮制,原味,待审核
芋儿鸡,晚餐,300,一份，可食部分约300g,炖煮,香辣,待审核
南山泉水鸡,晚餐,300,一份，可食部分约300g,煮制,麻辣,待审核
文昌鸡,晚餐,250,一份，可食部分约250g,煮制,原味,待审核
璧山兔,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核
铁锅炖大鹅,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核
合川肉片,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
延边冷面,午餐,400,一碗约400g（含汤）,煮制,酸甜,待审核
东北大拉皮,加餐,200,一份约200g，作为凉菜小吃,凉拌,酸辣,待审核
重庆米豆腐,午餐,250,一份，可食部分约250g,煮制,香辣,待审核
小鸡炖蘑菇,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核
磁器口陈麻花,加餐,80,一份约80g，作为零食,油炸,甜味,待审核
老边饺子,午餐,250,一份约250g（10-12只）,蒸制,咸鲜,待审核
重庆凉面,午餐,250,一份，可食部分约250g,凉拌,香辣,待审核
哈尔滨红肠,加餐,150,一份约150g，作为熟食/配餐,其他,咸鲜,待审核
豌杂面,午餐,300,一碗约300g,煮制,麻辣,待审核
豆花鱼,晚餐,350,一份，可食部分约350g,煮制,麻辣,待审核
酸菜白肉,晚餐,350,一份，可食部分约350g（含汤）,炖煮,酸辣,待审核
地三鲜,午餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
黔江鸡杂,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核
万州烤鱼,晚餐,500,一份，可食部分约500g（整鱼）,烤制,麻辣,待审核
锅包肉,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核
红烧鸡枞,晚餐,250,一份，可食部分约250g,炒制,鲜香,待审核
萍乡小炒肉,晚餐,250,一份，可食部分约250g,炒制,香辣,待审核
赣南小炒鱼,晚餐,250,一份，可食部分约250g,炒制,鲜香,待审核
香茅草烤鸡,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
瓦罐汤,晚餐,350,一罐约350ml，作为汤品,炖煮,鲜香,待审核
铜锅洋芋,午餐,250,一份，可食部分约250g,炖煮,原味,待审核
南昌拌粉,午餐,300,一碗约300g,凉拌,香辣,待审核
野生菌炒饭,午餐,350,一份约350g,炒制,鲜香,待审核
道口烧鸡,晚餐,300,一份，可食部分约300g,烤制,五香,待审核
黑山羊火锅,晚餐,400,一份火锅，食材约400g（不含汤）,煮制,鲜香,待审核
开封灌汤包,午餐,200,一笼约200g（6只）,蒸制,鲜香,待审核
火腿月饼,加餐,100,一个约100g，作为点心,烤制,咸鲜,待审核
丽江粑粑,早餐,150,一份约150g，作为早餐主食,烤制,咸鲜,待审核
洛阳水席,晚餐,300,一份，可食部分约300g（含汤）,煮制,咸鲜,待审核
普洱茶香鸡,晚餐,300,一份，可食部分约300g,炒制,鲜香,待审核
烩面,午餐,400,一碗约400g（含汤）,煮制,咸鲜,待审核
洋芋粑粑,加餐,150,一份约150g，作为小吃,煎制,原味,待审核
胡辣汤,早餐,300,一碗约300g，作为早餐,煮制,香辣,待审核
包浆豆腐,加餐,200,一份约200g，作为小吃,油炸,香辣,待审核
孝感米酒,加餐,250,一碗约250ml，作为饮品,冲泡,甜味,待审核
酸笋鸡,晚餐,300,一份，可食部分约300g,炖煮,酸辣,待审核
面窝,早餐,100,一个约100g，作为早餐,油炸,原味,待审核
傣味鬼鸡,晚餐,250,一份，可食部分约250g,凉拌,酸辣,待审核
莲藕排骨汤,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核
清蒸武昌鱼,晚餐,300,一份（整鱼），可食部分约300g,蒸制,鲜香,待审核
诺邓火腿,加餐,100,一份约100g，作为配餐/凉菜,其他,五香,待审核
三鲜豆皮,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核
腾冲大救驾,午餐,250,一份，可食部分约250g,炒制,咸鲜,待审核
大理饵丝,午餐,350,一碗约350g,煮制,鲜香,待审核
热干面,早餐,250,一碗约250g,凉拌,咸鲜,待审核
大理砂锅鱼,晚餐,400,一份（砂锅），可食部分约400g,炖煮,鲜香,待审核
莜面,午餐,250,一份约250g,蒸制,原味,待审核
宜良烤鸭,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核
栲栳栳,午餐,250,一份约250g,蒸制,咸鲜,待审核
刀削面,午餐,400,一碗约400g（含汤）,煮制,咸鲜,待审核
建水豆腐,加餐,150,一份约150g，作为小吃,烤制,香辣,待审核
羊肉臊子面,午餐,400,一碗约400g,煮制,咸鲜,待审核
鲜花饼,加餐,100,一个约100g，作为点心,烤制,甜味,待审核
乳扇,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核
新疆奶茶,加餐,250,一杯约250ml，作为饮品,冲泡,原味,待审核
丁丁炒面,午餐,300,一份约300g,炒制,咸鲜,待审核
凉鸡米线,午餐,350,一碗约350g,凉拌,酸辣,待审核
小锅米线,午餐,400,一碗约400g（含汤）,煮制,香辣,待审核
馕包肉,晚餐,350,一份约350g,炖煮,孜然,待审核
洋芋糍粑,加餐,150,一份约150g，作为小吃,煎制,原味,待审核
烤包子,午餐,150,一个约150g（2个）,烤制,孜然,待审核
宫廷牛肉饼,午餐,150,一份约150g,煎制,咸鲜,待审核
馕,午餐,200,一份约200g,烤制,原味,待审核
拉条子,午餐,350,一份约350g,煮制,咸鲜,待审核
蜂蜜凉粽子,加餐,200,一份约200g，作为甜点,煮制,甜味,待审核
子长煎饼,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核
抓饭,午餐,350,一份约350g,炒制,孜然,待审核
羊肉串,加餐,150,一份约150g（5-6串）,烤制,孜然,待审核
肉丸胡辣汤,早餐,300,一碗约300g，作为早餐,煮制,香辣,待审核
大盘鸡,晚餐,400,一份，可食部分约400g,炖煮,麻辣,待审核
葫芦鸡,晚餐,300,一份（整鸡），可食部分约300g,烤制,咸鲜,待审核
手抓羊肉,晚餐,300,一份，可食部分约300g,煮制,原味,待审核
粉蒸肉,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
甘肃酿皮,午餐,250,一份约250g,凉拌,酸辣,待审核
石子馍,加餐,100,一份约100g，作为零食,烤制,原味,待审核
兰州牛肉面,午餐,400,一碗约400g（含汤）,煮制,鲜香,待审核
黄桂柿子饼,加餐,100,一个约100g，作为点心,煎制,甜味,待审核
贾三灌汤包,午餐,200,一笼约200g（6只）,蒸制,鲜香,待审核
锅盔,早餐,150,一个约150g，作为早餐主食,烤制,原味,待审核
甑糕,加餐,200,一份约200g，作为甜点,蒸制,甜味,待审核
酸汤水饺,午餐,250,一份约250g,煮制,酸辣,待审核
油泼面,午餐,350,一碗约350g,煮制,香辣,待审核
荞面饸饹,午餐,300,一碗约300g,煮制,咸鲜,待审核
岐山臊子面,午餐,350,一碗约350g,煮制,酸辣,待审核
户县软面,午餐,350,一碗约350g,煮制,咸鲜,待审核
杨凌蘸水面,午餐,350,一碗约350g,煮制,香辣,待审核
葫芦头泡馍,午餐,350,一碗约350g,煮制,咸鲜,待审核
秦镇米皮,午餐,250,一份约250g,凉拌,香辣,待审核
羊肉泡馍,午餐,350,一碗约350g,煮制,鲜香,待审核
凉皮,午餐,250,一份约250g,凉拌,香辣,待审核
汉中热米皮,午餐,300,一碗约300g,煮制,香辣,待审核
曲曲儿,午餐,300,一碗约300g,煮制,孜然,待审核
肉夹馍,午餐,200,一个约200g,烤制,五香,待审核
biangbiang面,午餐,400,一碗约400g,煮制,香辣,待审核
黄面,午餐,300,一碗约300g,煮制,咸鲜,待审核
卷筒粉,早餐,200,一份约200g，作为早餐,蒸制,咸鲜,待审核
架子肉,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
南瓜薄皮包子,早餐,200,一笼约200g（4只）,蒸制,原味,待审核
酿豆腐泡,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
柠檬鸭,晚餐,300,一份，可食部分约300g,炖煮,酸辣,待审核
肉馕,午餐,250,一个约250g,烤制,孜然,待审核
南宁老友粉,午餐,400,一碗约400g,煮制,酸辣,待审核
酸奶疙瘩,加餐,50,一份约50g，作为零食,其他,原味,待审核
玛仁糖,加餐,80,一份约80g，作为零食,其他,甜味,待审核
阳朔啤酒鱼,晚餐,400,一份（整鱼），可食部分约400g,炖煮,鲜香,待审核
丁丁汤饭,午餐,350,一碗约350g,煮制,咸鲜,待审核
桂林米粉,午餐,350,一碗约350g,煮制,咸鲜,待审核
切面汤,午餐,350,一碗约350g,煮制,咸鲜,待审核
螺蛳粉,午餐,400,一碗约400g,煮制,酸辣,待审核
烤羊排,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
肠旺面,午餐,350,一碗约350g,煮制,香辣,待审核
米肠子面肺子,晚餐,300,一份约300g,煮制,原味,待审核
贵州辣子鸡,晚餐,350,一份，可食部分约350g,炒制,香辣,待审核
折耳根凉拌,加餐,150,一份约150g，作为凉菜,凉拌,酸辣,待审核
新疆椒麻鸡,晚餐,300,一份，可食部分约300g,凉拌,麻辣,待审核
丝娃娃,加餐,200,一份约200g（含饼皮），作为小吃,其他,酸辣,待审核
馕坑肉,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核
薄皮包子,早餐,200,一笼约200g（4只）,蒸制,孜然,待审核
酸汤鱼,晚餐,400,一份（整鱼），可食部分约400g,炖煮,酸辣,待审核
纳仁,午餐,350,一份约350g,煮制,孜然,待审核
菠萝饭,午餐,300,一份约300g,炒制,酸甜,待审核
乳饼,加餐,100,一份约100g，作为小吃,煎制,原味,待审核
新疆炒米粉,午餐,350,一份约350g,炒制,香辣,待审核
云南野生菌火锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核
红烧河鳗,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核
傣味香茅烤鱼,晚餐,400,一份（整鱼），可食部分约400g,烤制,孜然,待审核
咸豆浆,早餐,300,一碗约300ml，作为早餐,冲泡,咸鲜,待审核
宣威火腿,加餐,100,一份约100g，作为配餐/凉菜,其他,五香,待审核
蟹炒年糕,晚餐,300,一份，可食部分约300g,炒制,咸鲜,待审核
清蒸大闸蟹,晚餐,250,两只/份，可食部分约250g,蒸制,鲜香,待审核
上海葱油饼,早餐,150,一份约150g，作为早餐,煎制,咸鲜,待审核
汽锅鸡,晚餐,350,一份（汽锅），可食部分约350g,蒸制,鲜香,待审核
过桥米线,午餐,500,一碗约500g（含汤及配料）,煮制,鲜香,待审核
鲜肉月饼,加餐,100,一个约100g，作为点心,烤制,咸鲜,待审核
徽州炖甲鱼,晚餐,300,一份，可食部分约300g,炖煮,鲜香,待审核
条头糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核
