关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
串串香,午餐,300,一份，可食部分约300g，不含额外主食,煮制,麻辣,待审核,整餐候选,混合主餐,畜肉|禽肉|叶菜|菌菇,串串香主要食材为菜名所示食材，作为含主荤的混合主餐。
青海酸奶,加餐,200,一份约200g，作为加餐/配餐，不宜单独作正餐,其他,原味,待审核,组合组成项,奶及替代品,奶及奶制品,青海酸奶主要食材为奶及奶制品，作为奶制品。
卤鸡爪,晚餐,200,一份，可食部分约200g,炖煮,五香,待审核,组合组成项,蛋白质菜,禽肉,卤鸡爪主要食材为禽肉，作为主菜蛋白质。
藏式面片汤,晚餐,350,一份，可食部分约350g（含汤）,煮制,鲜香,待审核,两者皆可,汤羹,麦及制品,藏式面片汤主要食材为麦及面制品，作为汤羹。
烤脑花,加餐,150,一份，可食部分约150g，作为小吃,烤制,麻辣,待审核,组合组成项,蛋白质菜,动物内脏,烤脑花主要食材为动物内脏，作为主菜蛋白质。
牦牛饺子,午餐,250,一份约250g（10-12只）,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉|麦及制品,牦牛饺子主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
江湖鱼,晚餐,350,一份，可食部分约350g,炖煮,麻辣,待审核,组合组成项,蛋白质菜,鱼类,江湖鱼主要食材为鱼类，作为主菜蛋白质。
酥油茶,加餐,250,一杯约250ml，作为饮品,冲泡,原味,待审核,组合组成项,饮品,奶及奶制品,酥油茶主要食材为奶及奶制品，作为饮品。
糌粑,早餐,150,一份约150g，搭配酥油茶食用,其他,原味,待审核,组合组成项,主食,其他谷物,糌粑主要食材为其他谷物，作为组合餐主食。
重庆冰粉,加餐,250,一份约250g，作为甜品小吃,其他,甜味,待审核,组合组成项,其他配菜,其他谷物,重庆冰粉主要食材为菜名所示食材，作为配菜/点心。
奶豆腐,加餐,100,一份约100g，作为小吃/配餐,其他,原味,待审核,组合组成项,奶及替代品,奶及奶制品,奶豆腐主要食材为奶及奶制品，作为奶制品。
板凳面,午餐,300,一份，可食部分约300g,煮制,麻辣,待审核,整餐候选,主食,麦及制品,板凳面主要食材为麦及面制品，作为组合餐主食。
红糖糍粑,加餐,150,一份约150g，作为甜点,煎制,甜味,待审核,组合组成项,主食,米及制品,红糖糍粑主要食材为米及米制品，作为组合餐主食。
蒙古奶茶,加餐,250,一杯约250ml，作为饮品,冲泡,原味,待审核,组合组成项,饮品,奶及奶制品,蒙古奶茶主要食材为菜名所示食材，作为饮品。
山城小汤圆,加餐,200,一碗约200g，作为甜品,煮制,甜味,待审核,组合组成项,主食,米及制品,山城小汤圆主要食材为米及米制品，作为组合餐主食。
烤全羊,晚餐,300,一份，可食部分约300g（含骨）,烤制,孜然,待审核,整餐候选,混合主餐,畜肉,烤全羊主要食材为畜肉，作为含主荤的混合主餐。
椰子饭,午餐,300,一份，可食部分约300g,蒸制,甜味,待审核,两者皆可,混合主餐,米及制品|水果,椰子饭主要食材为米及米制品、水果，作为含主荤的混合主餐。
永川豆豉鱼,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,鱼类|大豆及豆制品,永川豆豉鱼主要食材为鱼类、大豆及豆制品，作为主菜蛋白质。
和乐蟹,晚餐,250,一只/份，可食部分约250g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,和乐蟹主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
重庆啤酒鸭,晚餐,300,一份，可食部分约300g,炖煮,香辣,待审核,组合组成项,蛋白质菜,禽肉,重庆啤酒鸭主要食材为禽肉，作为主菜蛋白质。
嘉积鸭,晚餐,250,一份，可食部分约250g,煮制,原味,待审核,组合组成项,蛋白质菜,禽肉,嘉积鸭主要食材为禽肉，作为主菜蛋白质。
芋儿鸡,晚餐,300,一份，可食部分约300g,炖煮,香辣,待审核,组合组成项,蛋白质菜,禽肉|薯类,芋儿鸡主要食材为禽肉、薯类，作为主菜蛋白质。
南山泉水鸡,晚餐,300,一份，可食部分约300g,煮制,麻辣,待审核,组合组成项,蛋白质菜,禽肉,南山泉水鸡主要食材为禽肉，作为主菜蛋白质。
文昌鸡,晚餐,250,一份，可食部分约250g,煮制,原味,待审核,组合组成项,蛋白质菜,禽肉,文昌鸡主要食材为禽肉，作为主菜蛋白质。
璧山兔,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核,组合组成项,蛋白质菜,畜肉,璧山兔主要食材为畜肉，作为主菜蛋白质。
铁锅炖大鹅,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核,两者皆可,混合主餐,禽肉,铁锅炖大鹅主要食材为禽肉，作为含主荤的混合主餐。
合川肉片,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,合川肉片主要食材为畜肉，作为主菜蛋白质。
延边冷面,午餐,400,一碗约400g（含汤）,煮制,酸甜,待审核,两者皆可,主食,麦及制品,延边冷面主要食材为麦及面制品，作为组合餐主食。
东北大拉皮,加餐,200,一份约200g，作为凉菜小吃,凉拌,酸辣,待审核,组合组成项,其他配菜,薯类,东北大拉皮主要食材为薯类，作为配菜/点心。
重庆米豆腐,午餐,250,一份，可食部分约250g,煮制,香辣,待审核,组合组成项,其他配菜,米及制品,重庆米豆腐主要食材为米及米制品，作为配菜/点心。
小鸡炖蘑菇,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核,两者皆可,混合主餐,禽肉|菌菇,小鸡炖蘑菇主要食材为禽肉、菌菇，作为含主荤的混合主餐。
磁器口陈麻花,加餐,80,一份约80g，作为零食,油炸,甜味,待审核,组合组成项,主食,麦及制品,磁器口陈麻花主要食材为麦及面制品，作为组合餐主食。
老边饺子,午餐,250,一份约250g（10-12只）,蒸制,咸鲜,待审核,两者皆可,混合主餐,麦及制品,老边饺子主要食材为麦及面制品，作为含主荤的混合主餐。
重庆凉面,午餐,250,一份，可食部分约250g,凉拌,香辣,待审核,两者皆可,主食,麦及制品,重庆凉面主要食材为麦及面制品，作为组合餐主食。
哈尔滨红肠,加餐,150,一份约150g，作为熟食/配餐,其他,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,哈尔滨红肠主要食材为畜肉，作为主菜蛋白质。
豌杂面,午餐,300,一碗约300g,煮制,麻辣,待审核,组合组成项,主食,杂豆|麦及制品,豌杂面主要食材为杂豆、麦及面制品，作为组合餐主食。
豆花鱼,晚餐,350,一份，可食部分约350g,煮制,麻辣,待审核,组合组成项,蛋白质菜,鱼类|大豆及豆制品,豆花鱼主要食材为鱼类、大豆及豆制品，作为主菜蛋白质。
酸菜白肉,晚餐,350,一份，可食部分约350g（含汤）,炖煮,酸辣,待审核,组合组成项,蛋白质菜,畜肉,酸菜白肉主要食材为畜肉，作为主菜蛋白质。
地三鲜,午餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,薯类|瓜茄类,地三鲜主要食材为薯类、瓜茄类蔬菜，作为配菜蔬菜。
黔江鸡杂,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核,组合组成项,蛋白质菜,动物内脏|禽肉,黔江鸡杂主要食材为动物内脏、禽肉，作为主菜蛋白质。
万州烤鱼,晚餐,500,一份，可食部分约500g（整鱼）,烤制,麻辣,待审核,两者皆可,混合主餐,鱼类,万州烤鱼主要食材为鱼类，作为含主荤的混合主餐。
锅包肉,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核,组合组成项,蛋白质菜,畜肉,锅包肉主要食材为畜肉，作为主菜蛋白质。
红烧鸡枞,晚餐,250,一份，可食部分约250g,炒制,鲜香,待审核,组合组成项,蔬菜菜肴,菌菇,红烧鸡枞主要食材为菌菇，作为配菜蔬菜。
萍乡小炒肉,晚餐,250,一份，可食部分约250g,炒制,香辣,待审核,组合组成项,蛋白质菜,畜肉,萍乡小炒肉主要食材为畜肉，作为主菜蛋白质。
赣南小炒鱼,晚餐,250,一份，可食部分约250g,炒制,鲜香,待审核,组合组成项,蛋白质菜,鱼类,赣南小炒鱼主要食材为鱼类，作为主菜蛋白质。
香茅草烤鸡,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,组合组成项,蛋白质菜,禽肉,香茅草烤鸡主要食材为禽肉，作为主菜蛋白质。
瓦罐汤,晚餐,350,一罐约350ml，作为汤品,炖煮,鲜香,待审核,组合组成项,汤羹,畜肉|菌菇,瓦罐汤主要食材为菜名所示食材，作为汤羹。
铜锅洋芋,午餐,250,一份，可食部分约250g,炖煮,原味,待审核,组合组成项,蔬菜菜肴,薯类,铜锅洋芋主要食材为薯类，作为配菜蔬菜。
南昌拌粉,午餐,300,一碗约300g,凉拌,香辣,待审核,两者皆可,主食,米及制品,南昌拌粉主要食材为米及米制品，作为组合餐主食。
野生菌炒饭,午餐,350,一份约350g,炒制,鲜香,待审核,两者皆可,混合主餐,菌菇|米及制品,野生菌炒饭主要食材为菌菇、米及米制品，作为含主荤的混合主餐。
道口烧鸡,晚餐,300,一份，可食部分约300g,烤制,五香,待审核,组合组成项,蛋白质菜,禽肉,道口烧鸡主要食材为禽肉，作为主菜蛋白质。
黑山羊火锅,晚餐,400,一份火锅，食材约400g（不含汤）,煮制,鲜香,待审核,整餐候选,混合主餐,畜肉,黑山羊火锅主要食材为畜肉，作为含主荤的混合主餐。
开封灌汤包,午餐,200,一笼约200g（6只）,蒸制,鲜香,待审核,两者皆可,混合主餐,麦及制品,开封灌汤包主要食材为麦及面制品，作为含主荤的混合主餐。
火腿月饼,加餐,100,一个约100g，作为点心,烤制,咸鲜,待审核,组合组成项,主食,畜肉|麦及制品,火腿月饼主要食材为畜肉、麦及面制品，作为组合餐主食。
丽江粑粑,早餐,150,一份约150g，作为早餐主食,烤制,咸鲜,待审核,组合组成项,其他配菜,麦及制品,丽江粑粑主要食材为麦及面制品，作为配菜/点心。
洛阳水席,晚餐,300,一份，可食部分约300g（含汤）,煮制,咸鲜,待审核,整餐候选,混合主餐,畜肉|叶菜,洛阳水席主要食材为菜名所示食材，作为含主荤的混合主餐。
普洱茶香鸡,晚餐,300,一份，可食部分约300g,炒制,鲜香,待审核,组合组成项,蛋白质菜,禽肉,普洱茶香鸡主要食材为禽肉，作为主菜蛋白质。
烩面,午餐,400,一碗约400g（含汤）,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,烩面主要食材为麦及面制品，作为组合餐主食。
洋芋粑粑,加餐,150,一份约150g，作为小吃,煎制,原味,待审核,组合组成项,其他配菜,薯类,洋芋粑粑主要食材为薯类，作为配菜/点心。
胡辣汤,早餐,300,一碗约300g，作为早餐,煮制,香辣,待审核,两者皆可,汤羹,麦及制品|畜肉|菌菇,胡辣汤主要食材为菜名所示食材，作为汤羹。
包浆豆腐,加餐,200,一份约200g，作为小吃,油炸,香辣,待审核,组合组成项,蛋白质菜,大豆及豆制品,包浆豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
孝感米酒,加餐,250,一碗约250ml，作为饮品,冲泡,甜味,待审核,组合组成项,饮品,米及制品,孝感米酒主要食材为菜名所示食材，作为饮品。
酸笋鸡,晚餐,300,一份，可食部分约300g,炖煮,酸辣,待审核,组合组成项,蛋白质菜,禽肉|花茎类,酸笋鸡主要食材为禽肉、花茎类蔬菜，作为主菜蛋白质。
面窝,早餐,100,一个约100g，作为早餐,油炸,原味,待审核,组合组成项,其他配菜,麦及制品,面窝主要食材为麦及面制品，作为配菜/点心。
傣味鬼鸡,晚餐,250,一份，可食部分约250g,凉拌,酸辣,待审核,组合组成项,蛋白质菜,禽肉,傣味鬼鸡主要食材为禽肉，作为主菜蛋白质。
莲藕排骨汤,晚餐,350,一碗约350g（含汤）,炖煮,鲜香,待审核,组合组成项,汤羹,畜肉|根菜,莲藕排骨汤主要食材为畜肉、根茎类蔬菜，作为汤羹。
清蒸武昌鱼,晚餐,300,一份（整鱼），可食部分约300g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,鱼类,清蒸武昌鱼主要食材为鱼类，作为主菜蛋白质。
诺邓火腿,加餐,100,一份约100g，作为配餐/凉菜,其他,五香,待审核,组合组成项,蛋白质菜,畜肉,诺邓火腿主要食材为畜肉，作为主菜蛋白质。
三鲜豆皮,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核,组合组成项,主食,米及制品,三鲜豆皮主要食材为米及米制品，作为组合餐主食。
腾冲大救驾,午餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,主食,米及制品,腾冲大救驾主要食材为米及米制品，作为组合餐主食。
大理饵丝,午餐,350,一碗约350g,煮制,鲜香,待审核,组合组成项,主食,米及制品,大理饵丝主要食材为米及米制品，作为组合餐主食。
热干面,早餐,250,一碗约250g,凉拌,咸鲜,待审核,两者皆可,主食,麦及制品,热干面主要食材为麦及面制品，作为组合餐主食。
大理砂锅鱼,晚餐,400,一份（砂锅），可食部分约400g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,鱼类,大理砂锅鱼主要食材为鱼类，作为主菜蛋白质。
莜面,午餐,250,一份约250g,蒸制,原味,待审核,整餐候选,主食,其他谷物,莜面主要食材为其他谷物，作为组合餐主食。
宜良烤鸭,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,宜良烤鸭主要食材为禽肉，作为主菜蛋白质。
栲栳栳,午餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,主食,其他谷物,栲栳栳主要食材为其他谷物，作为组合餐主食。
刀削面,午餐,400,一碗约400g（含汤）,煮制,咸鲜,待审核,整餐候选,主食,麦及制品,刀削面主要食材为麦及面制品，作为组合餐主食。
建水豆腐,加餐,150,一份约150g，作为小吃,烤制,香辣,待审核,组合组成项,蛋白质菜,大豆及豆制品,建水豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
羊肉臊子面,午餐,400,一碗约400g,煮制,咸鲜,待审核,整餐候选,混合主餐,畜肉|麦及制品,羊肉臊子面主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
鲜花饼,加餐,100,一个约100g，作为点心,烤制,甜味,待审核,组合组成项,主食,麦及制品,鲜花饼主要食材为麦及面制品，作为组合餐主食。
乳扇,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核,组合组成项,奶及替代品,奶及奶制品,乳扇主要食材为奶及奶制品，作为奶制品。
新疆奶茶,加餐,250,一杯约250ml，作为饮品,冲泡,原味,待审核,组合组成项,饮品,奶及奶制品,新疆奶茶主要食材为菜名所示食材，作为饮品。
丁丁炒面,午餐,300,一份约300g,炒制,咸鲜,待审核,两者皆可,主食,麦及制品,丁丁炒面主要食材为麦及面制品，作为组合餐主食。
凉鸡米线,午餐,350,一碗约350g,凉拌,酸辣,待审核,整餐候选,混合主餐,禽肉|米及制品,凉鸡米线主要食材为禽肉、米及米制品，作为含主荤的混合主餐。
小锅米线,午餐,400,一碗约400g（含汤）,煮制,香辣,待审核,整餐候选,主食,米及制品,小锅米线主要食材为米及米制品，作为组合餐主食。
馕包肉,晚餐,350,一份约350g,炖煮,孜然,待审核,两者皆可,混合主餐,畜肉|麦及制品,馕包肉主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
洋芋糍粑,加餐,150,一份约150g，作为小吃,煎制,原味,待审核,组合组成项,主食,薯类|米及制品,洋芋糍粑主要食材为薯类、米及米制品，作为组合餐主食。
