关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
闽南蚵仔面线,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|虾蟹贝类,面线以小麦制成、配蚵仔（牡蛎）煮成汤面，作为整餐混合主餐。
七里河油香,加餐,100,一个约100g，作为小吃,油炸,原味,待审核,组合组成项,主食,麦及制品,油香为麦面油炸而成的面制点心，作为搭配主食。
榆中煎饼,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,煎饼以小麦面糊煎制而成，作为早餐主食。
瓜州驼蹄冻,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核,组合组成项,蛋白质,畜肉,驼蹄为骆驼畜肉蹄筋熬制冻品，作为蛋白质凉菜。
临洮炒搅团,午餐,300,一份约300g,炒制,酸辣,待审核,组合组成项,主食,其他谷物,搅团以粗粮面糊搅制后炒制，作为粗粮主食。
甘南牦牛酸奶,加餐,200,一碗约200g，作为加餐/饮品,其他,原味,待审核,组合组成项,奶及替代品,奶及奶制品,牦牛酸奶为发酵奶制品，作为加餐饮品。
玉门油饼,早餐,150,一个约150g，作为早餐,油炸,原味,待审核,组合组成项,主食,麦及制品,油饼为麦面油炸面制品，作为早餐主食。
陇西蒸面鱼,午餐,300,一碗约300g,蒸制,咸鲜,待审核,整餐候选,主食,麦及制品,面鱼以小麦面制形似小鱼蒸制，一碗作为整餐主食。
白银洋芋搅团,午餐,300,一份约300g,煮制,酸辣,待审核,组合组成项,主食,薯类,洋芋（土豆）捣制搅团，作为薯类主食。
武威蒸羊羔肉,晚餐,300,一份，可食部分约300g,蒸制,原味,待审核,组合组成项,蛋白质,畜肉,羊羔肉为蒸制畜肉菜肴，作为蛋白质主菜。
酒泉炒面,午餐,350,一份约350g,炒制,咸鲜,待审核,整餐候选,混合主餐,麦及制品,炒面以面条炒制而成，作为整餐混合主餐。
庆阳羊肉煎饺,午餐,250,一份约250g（10只）,煎制,咸鲜,待审核,整餐候选,混合主餐,麦及制品|畜肉,煎饺以麦皮包羊肉馅煎制，一份作为整餐。
平凉锅盔,早餐,150,一个约150g，作为早餐主食,烤制,原味,待审核,组合组成项,主食,麦及制品,锅盔为麦面烤制的大饼，作为早餐主食。
张掖夹沙包,加餐,150,一份约150g，作为小吃,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品,夹沙包为麦面油炸甜馅点心，作为小吃。
民勤羊肉串,加餐,150,一份约150g（5-6串）,烤制,孜然,待审核,组合组成项,蛋白质,畜肉,羊肉串为烤制畜肉烤串，作为蛋白质小吃。
天水凉皮,午餐,250,一份约250g,凉拌,香辣,待审核,组合组成项,主食,麦及制品,凉皮为麦面蒸制冷面制品，作为主食小吃。
和政羊肉汤面,午餐,400,一碗约400g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|畜肉,羊肉汤面以面条配羊肉煮汤，一碗作为整餐混合主餐。
静宁油糕,加餐,100,一个约100g，作为小吃,油炸,甜味,待审核,组合组成项,主食,麦及制品,油糕为麦面油炸甜糕，作为面制主食点心。
定西土豆粉,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,主食,薯类,土豆粉以土豆淀粉制成粉条，一碗作为整餐主食。
客家南瓜糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核,组合组成项,主食,米及制品|瓜茄类,南瓜糕以米浆配南瓜蒸制，作为米制点心。
客家芋头丸,加餐,100,一份约100g，作为小吃,油炸,咸鲜,待审核,组合组成项,主食,根菜,芋头丸以芋头捣制油炸而成，作为薯芋类主食小吃。
酸菜猪肚汤,晚餐,300,一碗约300g（含汤）,炖煮,酸辣,待审核,组合组成项,汤羹,动物内脏|叶菜,猪肚配酸菜煮汤，作为汤羹，猪肚为动物内脏。
客家萝卜糕,加餐,150,一份约150g，作为点心,煎制,咸鲜,待审核,组合组成项,主食,米及制品|根菜,萝卜糕以米浆配萝卜煎制，作为米制点心。
艾草粄,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核,组合组成项,主食,米及制品,艾草粄以米浆配艾草蒸制，作为米制点心。
客家酿腐皮卷,晚餐,200,一份约200g,蒸制,咸鲜,待审核,组合组成项,蛋白质,大豆及豆制品,腐皮卷以豆腐皮制成，作为豆制品蛋白质菜肴。
客家炒米粉,午餐,350,一份约350g,炒制,咸鲜,待审核,整餐候选,混合主餐,米及制品,炒米粉以米粉炒制而成，作为整餐混合主餐。
客家粄粽,加餐,150,一个约150g，作为小吃,煮制,咸鲜,待审核,组合组成项,主食,米及制品,粄粽以糯米包裹煮制，作为米制主食小吃。
梅菜蒸肉饼,晚餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质,畜肉,蒸肉饼以猪肉为主料蒸制，作为蛋白质主菜。
客家盐焗鱼,晚餐,300,一份（整鱼），可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质,鱼类,盐焗鱼以整鱼烤制盐焗，作为鱼类蛋白质菜肴。
客家算盘子,加餐,200,一份约200g，作为小吃,炒制,咸鲜,待审核,组合组成项,主食,根菜,算盘子以芋头配粉搓丸炒制，作为薯芋类主食小吃。
客家黄酒鸡,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质,禽肉,黄酒鸡以鸡肉炖煮而成，作为禽肉蛋白质菜肴。
客家河粉,午餐,350,一碗约350g,煮制,咸鲜,待审核,整餐候选,主食,米及制品,河粉以米制粉条煮汤，一碗作为整餐主食。
客家小炒,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质,畜肉,客家小炒为猪肉煸炒菜肴，作为蛋白质主菜。
藏式麻花,加餐,80,一份约80g，作为零食,油炸,甜味,待审核,组合组成项,主食,麦及制品,藏式麻花为麦面油炸拧制面制品，作为主食点心。
奶渣饼,加餐,100,一份约100g，作为小吃,煎制,原味,待审核,组合组成项,奶及替代品,奶及奶制品,奶渣饼以奶渣煎制而成，作为奶制品点心。
酥油拌面,午餐,300,一碗约300g,煮制,原味,待审核,整餐候选,主食,麦及制品|奶及奶制品,拌面以面条配酥油拌制，一碗作为整餐主食。
藏式炖菜,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核,组合组成项,蔬菜,畜肉|根菜,藏式炖菜为炖煮蔬菜杂烩，作为蔬菜配菜。
青稞粥,早餐,300,一碗约300g，作为早餐,煮制,原味,待审核,整餐候选,主食,其他谷物,青稞粥以青稞熬煮成粥，一碗作为整餐主食。
藏式蘑菇汤,晚餐,300,一碗约300g（含汤）,煮制,鲜香,待审核,组合组成项,汤羹,菌菇,蘑菇汤以菌菇煮汤，作为汤羹。
风干牛肉,加餐,80,一份约80g，作为零食,其他,咸鲜,待审核,组合组成项,蛋白质,畜肉,风干牛肉为牛肉风干制成，作为蛋白质零食。
藏式土豆饼,加餐,150,一份约150g，作为小吃,煎制,原味,待审核,组合组成项,主食,薯类,土豆饼以土豆捣泥煎制，作为薯类主食小吃。
藏式馒头,早餐,150,一个约150g，作为早餐,蒸制,原味,待审核,组合组成项,主食,麦及制品,藏式馒头为麦面蒸制面食，作为主食。
炸奶渣,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核,组合组成项,奶及替代品,奶及奶制品,炸奶渣以奶渣油炸制成，作为奶制品小吃。
藏式甜米饭,加餐,200,一份约200g，作为甜点,蒸制,甜味,待审核,组合组成项,主食,米及制品,甜米饭以糯米蒸制甜点，作为米制主食点心。
藏式血肠,加餐,150,一份约150g，作为小吃,煮制,咸鲜,待审核,组合组成项,蛋白质,畜肉,血肠以畜血灌肠煮制，作为畜肉蛋白质小吃。
藏式酸奶,加餐,200,一碗约200g，作为加餐/饮品,其他,原味,待审核,组合组成项,奶及替代品,奶及奶制品,藏式酸奶为发酵奶制品，作为加餐饮品。
藏式肉饼,午餐,200,一个约200g,煎制,咸鲜,待审核,组合组成项,混合主餐,麦及制品|畜肉,肉饼以麦皮包肉馅煎制，作为面肉混合点心。
藏式炒面,午餐,300,一份约300g,炒制,咸鲜,待审核,整餐候选,混合主餐,麦及制品,炒面以面条炒制而成，作为整餐混合主餐。
牦牛肉面汤,午餐,400,一碗约400g,煮制,鲜香,待审核,整餐候选,混合主餐,麦及制品|畜肉,牦牛肉面汤以面条配牦牛肉煮汤，一碗作为整餐。
平南粉汤,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,汤羹,米及制品,粉汤以米制粉条煮汤，一碗作为整餐汤羹。
